0.000;3.987;0.127;4.106;0.184;1.919;0.038;6.781;0.158;2.513;0.079;5.947;0.156;3.609;0.180;16.633;0.505;2.165;0.040;
0.000;3.719;0.092;2.997;0.079;1.984;0.029;6.434;0.117;2.177;0.043;6.953;0.191;3.248;0.106;13.174;0.266;2.209;0.031;
0.000;3.728;0.183;3.826;0.193;1.880;0.048;6.703;0.227;2.917;0.127;7.682;0.294;3.123;0.153;18.671;0.948;2.188;0.047;
0.100;3.664;0.088;4.405;0.152;2.221;0.040;6.184;0.103;2.504;0.054;6.160;0.109;3.442;0.112;12.403;0.270;2.203;0.031;
0.200;3.935;0.142;4.923;0.318;2.009;0.034;7.484;0.196;2.782;0.111;7.349;0.182;3.224;0.107;11.725;0.271;2.055;0.030;
0.300;3.432;0.088;3.743;0.123;2.218;0.045;6.087;0.101;2.177;0.044;6.243;0.130;2.953;0.076;9.635;0.203;2.276;0.036;
0.400;3.681;0.117;3.387;0.135;2.065;0.046;5.815;0.117;2.141;0.046;6.604;0.180;4.011;0.341;9.358;0.384;2.396;0.071;
0.500;5.168;0.360;4.945;0.325;1.906;0.038;7.977;0.250;2.302;0.070;11.196;0.540;2.777;0.089;6.935;0.174;2.320;0.046;
0.600;3.513;0.096;3.872;0.142;2.204;0.040;6.336;0.103;2.576;0.061;6.311;0.106;3.032;0.108;6.670;0.163;2.098;0.039;
0.700;4.005;0.126;3.483;0.130;2.037;0.043;6.386;0.132;2.469;0.065;6.524;0.195;2.914;0.131;5.931;0.170;2.347;0.064;
0.800;4.054;0.127;4.239;0.199;2.492;0.065;6.943;0.158;2.663;0.078;5.939;0.116;2.878;0.103;4.454;0.087;2.325;0.043;
0.900;3.369;0.098;3.290;0.121;2.073;0.044;5.704;0.125;2.332;0.074;7.258;0.266;2.615;0.141;4.914;0.140;2.422;0.085;
1.000;3.358;0.091;3.722;0.155;1.995;0.039;5.965;0.108;2.224;0.055;6.350;0.136;2.834;0.117;3.403;0.063;2.619;0.066;
1.000;3.520;0.120;3.071;0.108;1.943;0.050;8.387;0.402;2.124;0.050;6.545;0.206;3.089;0.183;3.264;0.066;3.038;0.139;
0.000;3.722;0.115;3.553;0.138;2.067;0.042;6.756;0.159;2.044;0.050;5.995;0.131;3.307;0.133;14.218;0.373;2.267;0.040;
0.100;3.830;0.143;3.898;0.172;2.422;0.076;6.631;0.176;2.606;0.100;6.602;0.191;3.148;0.148;14.338;0.370;2.554;0.064;
0.200;3.037;0.065;3.452;0.094;1.918;0.034;6.136;0.119;2.180;0.050;7.795;0.225;3.396;0.139;10.879;0.243;2.157;0.037;
0.300;3.812;0.116;4.036;0.153;2.040;0.037;5.746;0.100;2.324;0.057;6.168;0.122;3.220;0.098;8.505;0.172;2.341;0.048;
0.400;3.338;0.102;3.547;0.178;1.852;0.033;6.615;0.167;2.529;0.076;5.393;0.101;3.212;0.131;8.339;0.243;2.055;0.035;
0.500;3.944;0.173;4.703;0.273;2.102;0.042;6.273;0.125;2.535;0.089;6.641;0.147;3.244;0.142;6.218;0.123;2.724;0.074;
0.600;3.585;0.101;3.992;0.154;2.242;0.050;6.441;0.149;2.854;0.088;7.582;0.234;3.165;0.145;5.347;0.099;2.272;0.059;
0.700;2.631;0.057;3.655;0.136;2.461;0.087;6.935;0.223;2.085;0.042;7.891;0.312;3.318;0.215;5.276;0.189;2.598;0.110;
0.800;3.325;0.083;3.639;0.141;1.891;0.031;6.492;0.134;2.960;0.112;6.869;0.165;2.785;0.097;5.311;0.148;2.361;0.049;
0.900;3.116;0.073;3.634;0.127;2.012;0.031;7.520;0.179;2.241;0.049;6.550;0.126;2.565;0.092;3.183;0.054;2.562;0.055;
1.000;3.561;0.098;2.583;0.056;2.215;0.051;6.425;0.170;2.689;0.097;6.404;0.179;2.555;0.099;4.096;0.117;2.248;0.050;
0.000;3.161;0.071;3.311;0.101;2.034;0.038;5.965;0.106;2.192;0.046;6.579;0.147;3.575;0.183;15.195;0.448;2.548;0.056;
1.000;3.128;0.030;2.867;0.041;1.880;0.013;5.308;0.033;1.884;0.016;4.890;0.036;2.319;0.032;2.966;0.020;2.407;0.023;
0.000;3.196;0.030;2.784;0.039;1.881;0.013;5.243;0.033;1.891;0.015;4.840;0.035;3.136;0.041;11.723;0.100;2.144;0.013;
0.100;3.165;0.030;2.856;0.041;1.866;0.013;5.312;0.035;1.907;0.016;4.879;0.036;3.167;0.041;10.853;0.084;2.160;0.014;
0.200;3.177;0.031;2.836;0.041;1.891;0.013;5.238;0.033;1.904;0.016;4.837;0.034;2.996;0.036;9.159;0.063;2.158;0.014;
0.300;3.145;0.031;2.803;0.042;1.856;0.013;5.287;0.034;1.888;0.016;4.853;0.035;2.961;0.036;7.586;0.051;2.182;0.015;
0.400;3.135;0.031;2.792;0.042;1.880;0.014;5.284;0.034;1.888;0.017;4.852;0.036;2.810;0.035;6.256;0.041;2.181;0.015;
0.500;3.099;0.029;2.843;0.040;1.897;0.013;5.218;0.033;1.899;0.016;4.819;0.035;2.762;0.035;5.317;0.034;2.238;0.017;
0.600;3.101;0.029;2.745;0.038;1.870;0.013;5.355;0.035;1.911;0.017;4.819;0.035;2.675;0.034;4.653;0.031;2.271;0.018;
0.700;3.082;0.029;2.751;0.040;1.888;0.013;5.238;0.034;1.868;0.015;4.804;0.034;2.565;0.033;4.036;0.026;2.289;0.018;
0.800;3.126;0.030;2.801;0.043;1.893;0.013;5.190;0.034;1.926;0.016;4.755;0.034;2.516;0.033;3.675;0.026;2.319;0.020;
0.900;3.119;0.029;2.902;0.044;1.897;0.014;5.221;0.034;1.930;0.016;4.842;0.034;2.395;0.033;3.267;0.023;2.348;0.021;
1.000;3.117;0.030;2.881;0.043;1.906;0.014;5.206;0.033;1.929;0.017;4.762;0.035;2.319;0.032;2.985;0.022;2.372;0.023;
1.000;3.092;0.009;2.695;0.012;1.873;0.004;5.198;0.010;1.833;0.005;4.716;0.010;2.315;0.009;2.978;0.007;2.369;0.006;
0.000;3.146;0.009;2.708;0.013;1.869;0.004;5.221;0.010;1.832;0.005;4.722;0.011;3.155;0.012;11.461;0.029;2.117;0.004;
0.100;3.145;0.009;2.698;0.012;1.872;0.004;5.228;0.010;1.838;0.005;4.720;0.010;3.114;0.011;10.731;0.025;2.123;0.004;
0.200;3.126;0.009;2.696;0.012;1.866;0.004;5.206;0.011;1.835;0.005;4.705;0.011;3.015;0.011;9.074;0.020;2.141;0.004;
0.300;3.127;0.009;2.697;0.013;1.871;0.004;5.216;0.011;1.844;0.005;4.699;0.010;2.930;0.010;7.478;0.016;2.156;0.004;
0.400;3.110;0.009;2.690;0.013;1.870;0.004;5.213;0.011;1.837;0.005;4.722;0.010;2.848;0.010;6.260;0.012;2.185;0.005;
0.500;3.109;0.009;2.694;0.013;1.865;0.004;5.227;0.010;1.835;0.005;4.719;0.010;2.759;0.010;5.303;0.011;2.209;0.005;
0.600;3.100;0.009;2.692;0.013;1.871;0.004;5.225;0.010;1.846;0.005;4.718;0.010;2.669;0.010;4.600;0.009;2.246;0.005;
0.700;3.093;0.009;2.690;0.012;1.873;0.004;5.230;0.010;1.834;0.005;4.720;0.010;2.590;0.010;4.047;0.008;2.279;0.005;
0.800;3.090;0.009;2.683;0.012;1.866;0.004;5.219;0.010;1.836;0.005;4.700;0.010;2.495;0.009;3.616;0.008;2.311;0.006;
0.900;3.089;0.009;2.697;0.013;1.871;0.004;5.216;0.010;1.840;0.005;4.707;0.010;2.410;0.009;3.272;0.007;2.344;0.006;
1.000;3.082;0.009;2.668;0.013;1.868;0.004;5.227;0.010;1.839;0.005;4.729;0.010;2.314;0.009;2.986;0.006;2.368;0.006;
